Epoch 1/50 | Train Loss: 0.7186 | Val Loss: 0.7502 | Train IoU: 0.2486 | Val IoU: 0.2444 | Train Dice: 0.2667 | Val Dice: 0.2498
Epoch 2/50 | Train Loss: 0.6514 | Val Loss: 0.5769 | Train IoU: 0.3082 | Val IoU: 0.3731 | Train Dice: 0.3465 | Val Dice: 0.4156
Epoch 3/50 | Train Loss: 0.6063 | Val Loss: 0.5582 | Train IoU: 0.3456 | Val IoU: 0.3841 | Train Dice: 0.3941 | Val Dice: 0.4344
Epoch 4/50 | Train Loss: 0.5875 | Val Loss: 0.5444 | Train IoU: 0.3454 | Val IoU: 0.4074 | Train Dice: 0.3971 | Val Dice: 0.4528
Epoch 5/50 | Train Loss: 0.5553 | Val Loss: 0.5246 | Train IoU: 0.3710 | Val IoU: 0.4133 | Train Dice: 0.4285 | Val Dice: 0.4693
Epoch 6/50 | Train Loss: 0.5599 | Val Loss: 0.5437 | Train IoU: 0.3565 | Val IoU: 0.3861 | Train Dice: 0.4150 | Val Dice: 0.4539
Epoch 7/50 | Train Loss: 0.5673 | Val Loss: 0.6031 | Train IoU: 0.3454 | Val IoU: 0.3360 | Train Dice: 0.4065 | Val Dice: 0.3918
Epoch 8/50 | Train Loss: 0.5634 | Val Loss: 0.5309 | Train IoU: 0.3629 | Val IoU: 0.3805 | Train Dice: 0.4223 | Val Dice: 0.4646
Epoch 9/50 | Train Loss: 0.5670 | Val Loss: 0.4726 | Train IoU: 0.3622 | Val IoU: 0.4402 | Train Dice: 0.4287 | Val Dice: 0.5230
Epoch 10/50 | Train Loss: 0.5670 | Val Loss: 0.4368 | Train IoU: 0.3620 | Val IoU: 0.4770 | Train Dice: 0.4274 | Val Dice: 0.5584
Epoch 11/50 | Train Loss: 0.4931 | Val Loss: 0.5102 | Train IoU: 0.3948 | Val IoU: 0.4130 | Train Dice: 0.4667 | Val Dice: 0.4874
Epoch 12/50 | Train Loss: 0.4958 | Val Loss: 0.3755 | Train IoU: 0.4081 | Val IoU: 0.5279 | Train Dice: 0.4895 | Val Dice: 0.6198
Epoch 13/50 | Train Loss: 0.5500 | Val Loss: 0.4058 | Train IoU: 0.3764 | Val IoU: 0.4979 | Train Dice: 0.4452 | Val Dice: 0.5893
Epoch 14/50 | Train Loss: 0.4904 | Val Loss: 0.3911 | Train IoU: 0.4119 | Val IoU: 0.5115 | Train Dice: 0.4981 | Val Dice: 0.6037
Epoch 15/50 | Train Loss: 0.4979 | Val Loss: 0.4386 | Train IoU: 0.4147 | Val IoU: 0.4639 | Train Dice: 0.4974 | Val Dice: 0.5564
Epoch 16/50 | Train Loss: 0.5509 | Val Loss: 0.6525 | Train IoU: 0.3795 | Val IoU: 0.2700 | Train Dice: 0.4494 | Val Dice: 0.3423
Epoch 17/50 | Train Loss: 0.5396 | Val Loss: 0.3787 | Train IoU: 0.3865 | Val IoU: 0.5286 | Train Dice: 0.4604 | Val Dice: 0.6190
Epoch 18/50 | Train Loss: 0.4773 | Val Loss: 0.4242 | Train IoU: 0.4336 | Val IoU: 0.4734 | Train Dice: 0.5178 | Val Dice: 0.5705
Epoch 19/50 | Train Loss: 0.4721 | Val Loss: 0.3719 | Train IoU: 0.4329 | Val IoU: 0.5315 | Train Dice: 0.5153 | Val Dice: 0.6229
Epoch 20/50 | Train Loss: 0.5078 | Val Loss: 0.3455 | Train IoU: 0.4114 | Val IoU: 0.5525 | Train Dice: 0.4872 | Val Dice: 0.6491
Epoch 21/50 | Train Loss: 0.5071 | Val Loss: 0.3730 | Train IoU: 0.4113 | Val IoU: 0.5309 | Train Dice: 0.4880 | Val Dice: 0.6215
Epoch 22/50 | Train Loss: 0.5003 | Val Loss: 0.4293 | Train IoU: 0.4083 | Val IoU: 0.4756 | Train Dice: 0.4896 | Val Dice: 0.5656
Epoch 23/50 | Train Loss: 0.4210 | Val Loss: 0.3656 | Train IoU: 0.4848 | Val IoU: 0.5383 | Train Dice: 0.5779 | Val Dice: 0.6293
Epoch 24/50 | Train Loss: 0.4497 | Val Loss: 0.3510 | Train IoU: 0.4528 | Val IoU: 0.5490 | Train Dice: 0.5375 | Val Dice: 0.6437
Epoch 25/50 | Train Loss: 0.4723 | Val Loss: 0.4328 | Train IoU: 0.4320 | Val IoU: 0.4695 | Train Dice: 0.5126 | Val Dice: 0.5620
Epoch 26/50 | Train Loss: 0.4587 | Val Loss: 0.4233 | Train IoU: 0.4517 | Val IoU: 0.4820 | Train Dice: 0.5413 | Val Dice: 0.5741
Epoch 27/50 | Train Loss: 0.4457 | Val Loss: 0.3673 | Train IoU: 0.4567 | Val IoU: 0.5328 | Train Dice: 0.5394 | Val Dice: 0.6301
Epoch 28/50 | Train Loss: 0.5046 | Val Loss: 0.3753 | Train IoU: 0.4183 | Val IoU: 0.5347 | Train Dice: 0.4955 | Val Dice: 0.6222
Epoch 29/50 | Train Loss: 0.4302 | Val Loss: 0.3679 | Train IoU: 0.4684 | Val IoU: 0.5386 | Train Dice: 0.5547 | Val Dice: 0.6295
Epoch 30/50 | Train Loss: 0.4479 | Val Loss: 0.3475 | Train IoU: 0.4552 | Val IoU: 0.5581 | Train Dice: 0.5408 | Val Dice: 0.6470
